scroll,segment,recipe,windows,n_text,pct_text,mean_score,max_score,best_y0,best_x0
PHerc1667,20260116230000-w035_2026011623_flatboi,1um_s1z2,8,0,0.0,0.5916,0.8141,17408,0
PHerc0814,20250929040153-auto_grown_20250929040153260,1um_s1z2,2,0,0.0,0.5893,0.8519,4352,0
PHerc0500P2,20250716055230-z_dbg_gen_00377_inp_hr,canon,3,0,0.0,0.5853,0.5934,8880,4440
PHerc0172,20251204192708-w093_20251204192708445_flatboi,other,114,0,0.0,0.5742,0.8052,11160,12400
PHerc0139,20260227000000-w052_2026022705,canon,47,0,0.0,0.5716,0.884,12288,12288
PHerc0139,20260219000000-w033_2026021913,canon,29,0,0.0,0.5709,0.88,8192,4096
PHerc0500P2,20250611172135-z_dbg_gen_00346_inp_hr,canon,2,0,0.0,0.5666,0.5701,8880,0
PHerc0814,20250925222237-auto_grown_20250925222237459,1um_s1z2,5,0,0.0,0.5659,0.6769,0,26112
PHerc0139,20260302000001-w050_2026030220,canon,8,0,0.0,0.5631,0.8254,0,0
PHerc0139,20251226000000-w055_2025122611,1um_s1z2,9,0,0.0,0.5598,0.7848,8704,17408
PHerc0343P,20250902170441--4_b2,canon,1,0,0.0,0.5569,0.5569,0,0
PHerc0172,20251206184729-w095_20251206184729906_flatboi,other,98,0,0.0,0.5537,0.8371,11160,3720
PHerc0139,20250108000005-w030_2025010818,1um_s1z2,6,0,0.0,0.549,0.7944,8704,0
PHerc0500P2,20250611173014-z_dbg_gen_00506_inp_hr,canon,3,0,0.0,0.5489,0.6997,4440,8880
PHerc0500P2,20250716055232-z_dbg_gen_00505_inp_hr,canon,3,0,0.0,0.5489,0.571,8880,0
PHerc0500P2,20250716055235-z_dbg_gen_00779_inp_hr,canon,5,0,0.0,0.5467,0.6248,4440,13320
PHerc0139,20260219000001-w048_2026021912,1um_s1z2,7,0,0.0,0.5455,0.7102,4352,8704
PHerc0814,20250925182632-auto_grown_20250925182632715,canon,6,0,0.0,0.5449,0.6788,4096,40960
PHerc1667,20240304141531-w013_20240304141531_flatboi,1um_s1z2,85,0,0.0,0.5407,0.8921,17408,4352
PHerc0139,20250108000005-w030_2025010818,canon,28,0,0.0,0.5387,0.8459,8192,20480
PHerc1667,20260119120000-w036_2026011912_flatboi,1um_s1z2,4,0,0.0,0.5376,0.7169,21760,26112
PHerc0139,20260215000000-w024_2026021572,1um_s1z2,5,0,0.0,0.536,0.7502,8704,0
PHerc0814,20250926051122-auto_grown_20250926051122829,1um_s1z2,7,0,0.0,0.5314,0.8071,13056,134912
PHerc1667,20260123230000-w037_2026012323_flatboi,1um_s1z2,1,0,0.0,0.5306,0.5306,21760,4352
PHerc0139,20260306000001-w051_2026030600,canon,47,0,0.0,0.5297,0.7902,8192,8192
PHerc0139,20260130000000-w031_2026013019,1um_s1z2,6,0,0.0,0.5261,0.6565,8704,0
PHerc0172,20251205115859-w094_20251205115859448_flatboi,other,84,0,0.0,0.524,0.8076,7440,1240
PHerc1667,20260110010000-w033_2026011001_flatboi,1um_s1z2,9,0,0.0,0.5235,0.7167,21760,4352
PHerc0343P,20250902170435--5_b2,canon,1,0,0.0,0.5219,0.5219,0,0
PHerc1667,20260115160000-w034_2026011516_flatboi,1um_s1z2,6,0,0.0,0.5193,0.58,21760,4352
PHerc0139,20260115000001-w056_2026011514,1um_s1z2,8,0,0.0,0.5157,0.7878,8704,21760
PHerc0139,20250108000001-w026_2025010854,canon,29,0,0.0,0.5135,0.7388,4096,0
PHerc1667,20260130150000-w039_2026013015_flatboi,canon,3,0,0.0,0.5097,0.8118,24576,4096
PHercParis4,20260602225659-5753_0,canon,29,0,0.0,0.4994,0.8931,36864,4096
PHerc0139,20260130000000-w031_2026013019,canon,28,0,0.0,0.4932,0.8101,8192,16384
PHerc0139,20250108000004-w029_2025010827,1um_s1z2,6,0,0.0,0.485,0.6997,8704,8704
PHerc0139,20250108000004-w029_2025010827,canon,28,0,0.0,0.4814,0.8415,0,12288
PHerc0139,20260220000000-w053_2026022021,1um_s1z2,10,0,0.0,0.4801,0.7117,8704,8704
PHerc0139,20260127000000-w057_2026012713,1um_s1z2,16,0,0.0,0.4688,0.8157,8704,26112
PHerc0139,20250108000000-w025_2025010863,canon,25,0,0.0,0.4658,0.8472,0,16384
PHerc0139,20250108000003-w028_2025010836,1um_s1z2,6,0,0.0,0.4591,0.6401,8704,13056
PHerc0139,20250108000000-w025_2025010863,1um_s1z2,6,0,0.0,0.4576,0.7236,8704,13056
PHerc0139,20260220000000-w053_2026022021,canon,47,0,0.0,0.455,0.7624,12288,20480
PHerc0139,20260127000000-w057_2026012713,canon,46,0,0.0,0.4473,0.6972,20480,28672
PHerc0500P2,20250611133823-z_dbg_gen_00130_inp_hr,canon,1,0,0.0,0.4262,0.4262,13320,0
PHerc0343P,20250902171202--2_b2,canon,2,0,0.0,0.4232,0.5027,0,0
