scroll,segment,recipe,pitch_um,y0,x0,jpg,area,requant,q50
PHerc0139,20250108000000-w025,canon,2.399,4096,12288,0.5456,0.5461,0.546,0.5459
PHerc0139,20250108000000-w025,canon,2.399,4096,16384,0.6519,0.6526,0.6527,0.6525
PHerc0139,20250108000000-w025,canon,2.399,8192,0,0.091,0.0915,0.0912,0.0916
PHerc0139,20250108000000-w025,canon,2.399,8192,4096,0.2293,0.2301,0.2303,0.23
PHerc0139,20250108000000-w025,canon,2.399,8192,8192,0.6124,0.6133,0.6132,0.6137
PHerc0139,20250108000000-w025,canon,2.399,8192,12288,0.7101,0.7107,0.7108,0.711
PHerc0139,20250108000000-w025,canon,2.399,8192,16384,0.5985,0.5986,0.5989,0.5987
PHerc0139,20250108000000-w025,canon,2.399,12288,0,0.3088,0.3101,0.3102,0.3097
PHerc0139,20250108000000-w025,canon,2.399,12288,4096,0.3399,0.341,0.3413,0.3409
PHerc0139,20250108000000-w025,canon,2.399,12288,8192,0.2576,0.2576,0.2578,0.258
PHerc0139,20250108000000-w025,canon,2.399,12288,12288,0.2667,0.2665,0.2666,0.2667
PHerc0139,20250108000000-w025,canon,2.399,12288,16384,0.3922,0.3921,0.3922,0.3921
PHerc0139,20250108000000-w025,canon,2.399,16384,0,0.5832,0.5844,0.5844,0.5843
PHerc0139,20250108000000-w025,canon,2.399,16384,4096,0.674,0.6749,0.6749,0.675
PHerc0139,20250108000000-w025,canon,2.399,16384,8192,0.2959,0.296,0.296,0.296
PHerc0139,20250108000000-w025,canon,2.399,16384,12288,0.1658,0.1657,0.1657,0.1658
PHerc0139,20250108000000-w025,canon,2.399,16384,16384,0.3575,0.3575,0.3575,0.3576
PHerc1667,20240304161941-w023,canon,2.399,0,12288,0.7322,0.7494,0.7493,0.7331
PHerc1667,20240304161941-w023,canon,2.399,0,16384,0.7682,0.7687,0.7687,0.7687
PHerc1667,20240304161941-w023,canon,2.399,0,20480,0.6581,0.6583,0.6584,0.6587
PHerc1667,20240304161941-w023,canon,2.399,0,32768,0.6899,0.6902,0.6902,0.6992
PHerc1667,20240304161941-w023,canon,2.399,0,36864,0.6398,0.64,0.6401,0.6402
PHerc1667,20240304161941-w023,canon,2.399,0,40960,0.743,0.7551,0.7552,0.7553
PHerc1667,20240304161941-w023,canon,2.399,0,45056,0.7965,0.8104,0.8104,0.8105
PHerc1667,20240304161941-w023,canon,2.399,0,57344,0.8105,0.8104,0.8103,0.8105
PHerc1667,20240304161941-w023,canon,2.399,0,61440,0.883,0.8829,0.8829,0.883
PHerc1667,20240304161941-w023,canon,2.399,0,65536,0.8326,0.8327,0.8328,0.8327
PHerc1667,20240304161941-w023,canon,2.399,0,77824,0.7876,0.7795,0.7795,0.7795
PHerc1667,20240304161941-w023,canon,2.399,0,81920,0.7442,0.7447,0.7446,0.7449
PHerc1667,20240304161941-w023,canon,2.399,0,86016,0.7311,0.7315,0.7313,0.7318
PHerc1667,20240304161941-w023,canon,2.399,4096,0,0.7565,0.7567,0.7568,0.7573
PHerc1667,20240304161941-w023,canon,2.399,4096,4096,0.8266,0.8268,0.8361,0.8438
PHerc1667,20240304161941-w023,canon,2.399,4096,8192,0.8376,0.8377,0.8462,0.8531
PHerc1667,20240304161941-w023,canon,2.399,4096,12288,0.7654,0.7656,0.7658,0.7655
PHerc1667,20240304161941-w023,canon,2.399,4096,16384,0.7465,0.7466,0.7467,0.7467
PHerc1667,20240304161941-w023,canon,2.399,4096,20480,0.6287,0.6286,0.6288,0.6292
PHerc1667,20240304161941-w023,canon,2.399,4096,24576,0.5436,0.5438,0.5366,0.5367
PHerc1667,20240304161941-w023,canon,2.399,4096,28672,0.7506,0.7508,0.7455,0.7456
PHerc1667,20240304161941-w023,canon,2.399,4096,32768,0.722,0.722,0.7219,0.7223
PHerc1667,20240304161941-w023,canon,2.399,4096,36864,0.7574,0.7578,0.7579,0.758
PHerc1667,20240304161941-w023,canon,2.399,4096,40960,0.8039,0.8125,0.8126,0.8127
