key,scroll,segment,recipe,iy,ix,wpx_fine,wpx_coarse,thresh_fine,thresh_coarse,fine,coarse,ncomp_fine,ncomp_coarse,ext_fine,ext_coarse,frac_fine,frac_coarse
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,2,1024,311,116,115,0.9733,0.9727,41,40,1209.1,1202.3,0.1629,0.1637
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,3,1024,311,116,115,0.86,0.8503,80,76,575.8,632.8,0.1369,0.1379
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,4,1024,311,116,115,0.6844,0.6694,100,98,537.4,569.5,0.0886,0.0898
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,5,1024,311,116,115,0.3414,0.3414,87,85,441.4,443.0,0.0416,0.0419
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,6,1024,311,116,115,0.2558,0.2501,91,84,383.8,379.7,0.0319,0.0316
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,7,1024,311,116,115,0.4228,0.4289,90,78,307.1,379.7,0.0302,0.0304
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,8,1024,311,116,115,0.5516,0.5539,106,94,364.6,379.7,0.0477,0.0482
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,9,1024,311,116,115,0.6063,0.6086,118,108,479.8,506.2,0.0698,0.0691
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,10,1024,311,116,115,0.4777,0.4949,110,102,537.4,569.5,0.0622,0.0632
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,11,1024,311,116,115,0.3134,0.365,82,75,383.8,506.2,0.0331,0.0342
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,12,1024,311,116,115,0.1992,0.2657,66,60,355.1,379.7,0.0199,0.0201
PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,2,13,1024,311,116,115,0.2286,0.2905,84,78,307.1,316.4,0.0231,0.0231
