key,scroll,segment,recipe,n_windows,scroll_base_rate,p_zero_by_chance,significant,max_score
PHerc0172/segments/20251211095724-w056_20251211095724922_flatboi/ink-detection/downsampled/PHerc0172-20251211095724-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211095724-w056_20251211095724922_flatboi,other,20,0.00539,0.89753,0,0.812
PHerc0172/segments/20251210142414-w059_20251210142414060_flatboi/ink-detection/downsampled/PHerc0172-20251210142414-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210142414-w059_20251210142414060_flatboi,other,20,0.00539,0.89753,0,0.8671
PHerc0172/segments/20251211111451-w055_20251211111451620_flatboi/ink-detection/downsampled/PHerc0172-20251211111451-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251211111451-w055_20251211111451620_flatboi,other,20,0.00539,0.89753,0,0.8502
PHerc0172/segments/20251210153304-w058_20251210153304503_flatboi/ink-detection/downsampled/PHerc0172-20251210153304-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210153304-w058_20251210153304503_flatboi,other,20,0.00539,0.89753,0,0.8502
PHerc0172/segments/20251207123912-w060_20251207123912611_flatboi/ink-detection/downsampled/PHerc0172-20251207123912-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251207123912-w060_20251207123912611_flatboi,other,20,0.00539,0.89753,0,0.8791
PHerc0172/segments/20251210142414-w059_20251210142414060_flatboi/ink-detection/downsampled/PHerc0172-20251210142414-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251210142414-w059_20251210142414060_flatboi,other,20,0.00539,0.89753,0,0.8861
PHerc0172/segments/20251207123912-w060_20251207123912611_flatboi/ink-detection/downsampled/PHerc0172-20251207123912-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251207123912-w060_20251207123912611_flatboi,other,20,0.00539,0.89753,0,0.8344
PHerc0172/segments/20251212105627-w052_20251212105627148_flatboi/ink-detection/downsampled/PHerc0172-20251212105627-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251212105627-w052_20251212105627148_flatboi,other,20,0.00539,0.89753,0,0.8973
PHerc0172/segments/20251211152543-w053_20251211152543204_flatboi/ink-detection/downsampled/PHerc0172-20251211152543-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211152543-w053_20251211152543204_flatboi,other,20,0.00539,0.89753,0,0.7767
PHerc0172/segments/20251211111451-w055_20251211111451620_flatboi/ink-detection/downsampled/PHerc0172-20251211111451-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211111451-w055_20251211111451620_flatboi,other,20,0.00539,0.89753,0,0.8006
PHerc0172/segments/20251212105627-w052_20251212105627148_flatboi/ink-detection/downsampled/PHerc0172-20251212105627-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251212105627-w052_20251212105627148_flatboi,other,20,0.00539,0.89753,0,0.8206
